park,response,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
Sioma Ngwezi,tree_cover_1000m_coef,8,50,mesh_7,109,TRUE,5,-4369.4500109593,122934,-1.31372519872498,cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_7_1000m_local_density_parks.Rds,Woody Cover Trend
Sioma Ngwezi,tree_cover_1000m_coef,8,100,mesh_8,109,TRUE,5,-4376.11789298505,122934,-1.31572997383796,cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_8_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_8_1000m_local_density_parks.Rds,Woody Cover Trend
Sioma Ngwezi,tree_cover_1000m_coef,8,150,mesh_9,109,TRUE,5,-4388.22525427822,122934,-1.31937019070301,cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_tree_cover_1000m_coef_sioma_ngwezi_mesh_9_1000m_local_density_parks.Rds,Woody Cover Trend
Sioma Ngwezi,canopy_height_900m_coef,2,50,mesh_1,809,TRUE,5,11690.9236190574,122934,3.51501010795471,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_1_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_1_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,2,100,mesh_2,809,FALSE,4,11699.6337705413,122934,3.51762891477489,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_2_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_2_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,2,150,mesh_3,809,FALSE,4,11689.3829386418,122934,3.51454688473897,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_3_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_3_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,4,100,mesh_5,305,TRUE,5,11225.5423410882,122934,3.37508789569698,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_5_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_5_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,4,150,mesh_6,305,TRUE,5,11248.8719967399,122934,3.3821022239146,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_6_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_6_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,8,50,mesh_7,109,FALSE,3,10776.6386638646,122934,3.24011986285766,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_7_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_7_1000m_local_density_parks.Rds,Canopy Height Trend
Sioma Ngwezi,canopy_height_900m_coef,8,150,mesh_9,109,FALSE,4,10771.9824597521,122934,3.23871992175349,cv_canopy_height_900m_coef_sioma_ngwezi_mesh_9_1000m_local_density_parks,builds/cv_park_models/cv_canopy_height_900m_coef_sioma_ngwezi_mesh_9_1000m_local_density_parks.Rds,Canopy Height Trend
