tier,filter_call,cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',4,50,mesh_4,6346,TRUE,5,tree_cover_1000m_coef,-31004.6257118737,83860,-1.08738560347469,cv_tree_cover_1000m_coef_uq_mesh_4_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_4_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',4,100,mesh_5,4661,TRUE,5,tree_cover_1000m_coef,-31020.0481870468,83860,-1.08792649623143,cv_tree_cover_1000m_coef_uq_mesh_5_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_5_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',8,50,mesh_7,3930,TRUE,5,tree_cover_1000m_coef,-34665.755954548,83860,-1.21578774434637,cv_tree_cover_1000m_coef_uq_mesh_7_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_7_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',8,100,mesh_8,2193,TRUE,5,tree_cover_1000m_coef,-34718.0002767265,83860,-1.21762004267269,cv_tree_cover_1000m_coef_uq_mesh_8_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_8_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',8,150,mesh_9,1921,TRUE,5,tree_cover_1000m_coef,-34804.8574182722,83860,-1.22066627216611,cv_tree_cover_1000m_coef_uq_mesh_9_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_9_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',16,50,mesh_10,3044,TRUE,5,tree_cover_1000m_coef,-37985.2545952583,83860,-1.33220827676001,cv_tree_cover_1000m_coef_uq_mesh_10_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_10_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',16,100,mesh_11,1191,TRUE,5,tree_cover_1000m_coef,-38006.984512169,83860,-1.33297038235784,cv_tree_cover_1000m_coef_uq_mesh_11_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_11_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',16,150,mesh_12,891,TRUE,5,tree_cover_1000m_coef,-38015.9476952039,83860,-1.33328473661852,cv_tree_cover_1000m_coef_uq_mesh_12_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_12_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',32,50,mesh_13,1844,TRUE,5,tree_cover_1000m_coef,-40590.5923557248,83860,-1.42358195755356,cv_tree_cover_1000m_coef_uq_mesh_13_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_13_1000m_local_density_subsets.Rds,Woody Cover Trend
tree_cover_1000m_coef_uq,tree_cover_q == 'uq',32,100,mesh_14,835,TRUE,5,tree_cover_1000m_coef,-40781.2299141738,83860,-1.43026794494349,cv_tree_cover_1000m_coef_uq_mesh_14_1000m_local_density_subsets,builds/cv_subset_models/cv_tree_cover_1000m_coef_uq_mesh_14_1000m_local_density_subsets.Rds,Woody Cover Trend
