cutoff,max_inner_edge,mesh_id,response,n_vertices,all_converged,p_d_hessian,response.1,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
2,50,mesh_1,tree_cover_1000m_coef,19642,TRUE,5,tree_cover_1000m_coef,-67595.1257052861,74304,-0.909710455766662,cv_tree_cover_1000m_coef_mesh_1_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_1_park_average_density.Rds,Woody Cover Trend
2,100,mesh_2,tree_cover_1000m_coef,18010,TRUE,5,tree_cover_1000m_coef,-67715.8008216783,74304,-0.911334528715524,cv_tree_cover_1000m_coef_mesh_2_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_2_park_average_density.Rds,Woody Cover Trend
2,150,mesh_3,tree_cover_1000m_coef,17741,TRUE,5,tree_cover_1000m_coef,-67730.7447885902,74304,-0.911535647994593,cv_tree_cover_1000m_coef_mesh_3_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_3_park_average_density.Rds,Woody Cover Trend
4,50,mesh_4,tree_cover_1000m_coef,8942,TRUE,5,tree_cover_1000m_coef,-77444.8350741433,74304,-1.04227006721231,cv_tree_cover_1000m_coef_mesh_4_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_4_park_average_density.Rds,Woody Cover Trend
4,100,mesh_5,tree_cover_1000m_coef,7312,TRUE,5,tree_cover_1000m_coef,-77433.0683128574,74304,-1.04211170748355,cv_tree_cover_1000m_coef_mesh_5_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_5_park_average_density.Rds,Woody Cover Trend
4,150,mesh_6,tree_cover_1000m_coef,7016,TRUE,5,tree_cover_1000m_coef,-77552.0106526491,74304,-1.04371246033389,cv_tree_cover_1000m_coef_mesh_6_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_6_park_average_density.Rds,Woody Cover Trend
8,50,mesh_7,tree_cover_1000m_coef,4444,TRUE,5,tree_cover_1000m_coef,-89174.9078644226,74304,-1.20013603392042,cv_tree_cover_1000m_coef_mesh_7_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_7_park_average_density.Rds,Woody Cover Trend
8,100,mesh_8,tree_cover_1000m_coef,2785,TRUE,5,tree_cover_1000m_coef,-89113.1718410303,74304,-1.19930517658579,cv_tree_cover_1000m_coef_mesh_8_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_8_park_average_density.Rds,Woody Cover Trend
8,150,mesh_9,tree_cover_1000m_coef,2513,TRUE,5,tree_cover_1000m_coef,-89116.9503243608,74304,-1.19935602826713,cv_tree_cover_1000m_coef_mesh_9_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_9_park_average_density.Rds,Woody Cover Trend
16,50,mesh_10,tree_cover_1000m_coef,3034,TRUE,5,tree_cover_1000m_coef,-98604.2184287494,74304,-1.32703782338433,cv_tree_cover_1000m_coef_mesh_10_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_10_park_average_density.Rds,Woody Cover Trend
16,100,mesh_11,tree_cover_1000m_coef,1328,TRUE,5,tree_cover_1000m_coef,-98686.6115120745,74304,-1.32814668809316,cv_tree_cover_1000m_coef_mesh_11_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_11_park_average_density.Rds,Woody Cover Trend
16,150,mesh_12,tree_cover_1000m_coef,1021,TRUE,5,tree_cover_1000m_coef,-98639.564593259,74304,-1.32751352004278,cv_tree_cover_1000m_coef_mesh_12_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_12_park_average_density.Rds,Woody Cover Trend
32,50,mesh_13,tree_cover_1000m_coef,1742,TRUE,5,tree_cover_1000m_coef,-105858.945075272,74304,-1.42467357174946,cv_tree_cover_1000m_coef_mesh_13_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_13_park_average_density.Rds,Woody Cover Trend
32,100,mesh_14,tree_cover_1000m_coef,848,TRUE,5,tree_cover_1000m_coef,-106181.834080683,74304,-1.42901908484984,cv_tree_cover_1000m_coef_mesh_14_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_14_park_average_density.Rds,Woody Cover Trend
32,150,mesh_15,tree_cover_1000m_coef,525,TRUE,5,tree_cover_1000m_coef,-106187.591163705,74304,-1.42909656497234,cv_tree_cover_1000m_coef_mesh_15_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_15_park_average_density.Rds,Woody Cover Trend
2,50,mesh_16,canopy_height_900m_coef,19642,TRUE,5,canopy_height_900m_coef,274670.16107549,74304,3.6965730118902,cv_canopy_height_900m_coef_mesh_16_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_16_park_average_density.Rds,Vegetation Height Trend
2,100,mesh_17,canopy_height_900m_coef,18010,TRUE,5,canopy_height_900m_coef,274705.220295128,74304,3.69704484677982,cv_canopy_height_900m_coef_mesh_17_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_17_park_average_density.Rds,Vegetation Height Trend
2,150,mesh_18,canopy_height_900m_coef,17741,TRUE,5,canopy_height_900m_coef,274602.466715542,74304,3.6956619659176,cv_canopy_height_900m_coef_mesh_18_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_18_park_average_density.Rds,Vegetation Height Trend
4,50,mesh_19,canopy_height_900m_coef,8942,TRUE,5,canopy_height_900m_coef,264077.087476466,74304,3.55400903688181,cv_canopy_height_900m_coef_mesh_19_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_19_park_average_density.Rds,Vegetation Height Trend
4,100,mesh_20,canopy_height_900m_coef,7312,TRUE,5,canopy_height_900m_coef,263931.391344843,74304,3.55204822546354,cv_canopy_height_900m_coef_mesh_20_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_20_park_average_density.Rds,Vegetation Height Trend
4,150,mesh_21,canopy_height_900m_coef,7016,TRUE,5,canopy_height_900m_coef,264021.417547898,74304,3.55325981842024,cv_canopy_height_900m_coef_mesh_21_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_21_park_average_density.Rds,Vegetation Height Trend
8,50,mesh_22,canopy_height_900m_coef,4444,TRUE,5,canopy_height_900m_coef,251810.90925578,74304,3.38892804230971,cv_canopy_height_900m_coef_mesh_22_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_22_park_average_density.Rds,Vegetation Height Trend
8,100,mesh_23,canopy_height_900m_coef,2785,TRUE,5,canopy_height_900m_coef,251982.052681578,74304,3.3912313291556,cv_canopy_height_900m_coef_mesh_23_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_23_park_average_density.Rds,Vegetation Height Trend
8,150,mesh_24,canopy_height_900m_coef,2513,TRUE,5,canopy_height_900m_coef,251980.143760498,74304,3.39120563846493,cv_canopy_height_900m_coef_mesh_24_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_24_park_average_density.Rds,Vegetation Height Trend
16,100,mesh_26,canopy_height_900m_coef,1328,FALSE,4,canopy_height_900m_coef,242432.192283972,74304,3.26270715283123,cv_canopy_height_900m_coef_mesh_26_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_26_park_average_density.Rds,Vegetation Height Trend
