cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
2,50,mesh_1,30429,TRUE,5,canopy_height_900m_coef,451102.569887266,125806,3.58569996571917,cv_canopy_height_900m_coef_mesh_1_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_1_1000m_no_ndep.Rds,Canopy Height Trend
2,100,mesh_2,28588,TRUE,5,canopy_height_900m_coef,450756.151645649,125806,3.58294637493958,cv_canopy_height_900m_coef_mesh_2_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_2_1000m_no_ndep.Rds,Canopy Height Trend
2,150,mesh_3,28293,TRUE,5,canopy_height_900m_coef,451035.477042931,125806,3.58516666170875,cv_canopy_height_900m_coef_mesh_3_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_3_1000m_no_ndep.Rds,Canopy Height Trend
4,50,mesh_4,13020,TRUE,5,canopy_height_900m_coef,432200.912403772,125806,3.43545548228043,cv_canopy_height_900m_coef_mesh_4_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_4_1000m_no_ndep.Rds,Canopy Height Trend
4,100,mesh_5,11202,TRUE,5,canopy_height_900m_coef,432163.628468862,125806,3.43515912173396,cv_canopy_height_900m_coef_mesh_5_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_5_1000m_no_ndep.Rds,Canopy Height Trend
4,150,mesh_6,10908,TRUE,5,canopy_height_900m_coef,432131.663419184,125806,3.43490503965776,cv_canopy_height_900m_coef_mesh_6_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_6_1000m_no_ndep.Rds,Canopy Height Trend
8,50,mesh_7,5962,TRUE,5,canopy_height_900m_coef,411934.911908332,125806,3.27436618212432,cv_canopy_height_900m_coef_mesh_7_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_7_1000m_no_ndep.Rds,Canopy Height Trend
8,100,mesh_8,4011,TRUE,5,canopy_height_900m_coef,411892.931612231,125806,3.27403249139334,cv_canopy_height_900m_coef_mesh_8_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_8_1000m_no_ndep.Rds,Canopy Height Trend
8,150,mesh_9,3712,FALSE,4,canopy_height_900m_coef,411775.652840721,125806,3.27310027217081,cv_canopy_height_900m_coef_mesh_9_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_9_1000m_no_ndep.Rds,Canopy Height Trend
16,50,mesh_10,3740,TRUE,5,canopy_height_900m_coef,397075.881760856,125806,3.15625551850354,cv_canopy_height_900m_coef_mesh_10_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_10_1000m_no_ndep.Rds,Canopy Height Trend
16,100,mesh_11,1764,TRUE,5,canopy_height_900m_coef,397014.20060409,125806,3.15576523062565,cv_canopy_height_900m_coef_mesh_11_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_11_1000m_no_ndep.Rds,Canopy Height Trend
16,150,mesh_12,1413,TRUE,5,canopy_height_900m_coef,396957.152309838,125806,3.15531176819737,cv_canopy_height_900m_coef_mesh_12_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_12_1000m_no_ndep.Rds,Canopy Height Trend
32,50,mesh_13,2151,TRUE,5,canopy_height_900m_coef,386106.357277624,125806,3.06906154935078,cv_canopy_height_900m_coef_mesh_13_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_13_1000m_no_ndep.Rds,Canopy Height Trend
32,100,mesh_14,1038,FALSE,1,canopy_height_900m_coef,385549.366642857,125806,3.06463417200179,cv_canopy_height_900m_coef_mesh_14_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_14_1000m_no_ndep.Rds,Canopy Height Trend
32,150,mesh_15,669,FALSE,3,canopy_height_900m_coef,385510.12402402,125806,3.06432224237334,cv_canopy_height_900m_coef_mesh_15_1000m_no_ndep,builds/cv_models/cv_canopy_height_900m_coef_mesh_15_1000m_no_ndep.Rds,Canopy Height Trend
2,50,mesh_1,30429,TRUE,5,tree_cover_1000m_coef,-118333.72162836,125806,-0.94060475357582,cv_tree_cover_1000m_coef_mesh_1_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_1_1000m_no_ndep.Rds,Woody Cover Trend
2,100,mesh_2,28588,TRUE,5,tree_cover_1000m_coef,-118378.975566967,125806,-0.940964465661155,cv_tree_cover_1000m_coef_mesh_2_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_2_1000m_no_ndep.Rds,Woody Cover Trend
2,150,mesh_3,28293,TRUE,5,tree_cover_1000m_coef,-118247.374692674,125806,-0.939918403674496,cv_tree_cover_1000m_coef_mesh_3_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_3_1000m_no_ndep.Rds,Woody Cover Trend
4,50,mesh_4,13020,TRUE,5,tree_cover_1000m_coef,-135675.020084266,125806,-1.0784463386823,cv_tree_cover_1000m_coef_mesh_4_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_4_1000m_no_ndep.Rds,Woody Cover Trend
4,100,mesh_5,11202,TRUE,5,tree_cover_1000m_coef,-135451.692816257,125806,-1.07667116684623,cv_tree_cover_1000m_coef_mesh_5_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_5_1000m_no_ndep.Rds,Woody Cover Trend
4,150,mesh_6,10908,TRUE,5,tree_cover_1000m_coef,-135536.501948076,125806,-1.07734529313448,cv_tree_cover_1000m_coef_mesh_6_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_6_1000m_no_ndep.Rds,Woody Cover Trend
8,50,mesh_7,5962,TRUE,5,tree_cover_1000m_coef,-154555.66279792,125806,-1.2285237810432,cv_tree_cover_1000m_coef_mesh_7_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_7_1000m_no_ndep.Rds,Woody Cover Trend
8,100,mesh_8,4011,TRUE,5,tree_cover_1000m_coef,-154412.238690903,125806,-1.22738373917701,cv_tree_cover_1000m_coef_mesh_8_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_8_1000m_no_ndep.Rds,Woody Cover Trend
8,150,mesh_9,3712,TRUE,5,tree_cover_1000m_coef,-154412.522150513,125806,-1.22738599232559,cv_tree_cover_1000m_coef_mesh_9_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_9_1000m_no_ndep.Rds,Woody Cover Trend
16,50,mesh_10,3740,FALSE,4,tree_cover_1000m_coef,-167974.380926094,125806,-1.33518576956658,cv_tree_cover_1000m_coef_mesh_10_1000m_no_ndep,builds/cv_models/cv_tree_cover_1000m_coef_mesh_10_1000m_no_ndep.Rds,Woody Cover Trend
