cutoff,max_inner_edge,mesh_id,n_vertices,all_converged,p_d_hessian,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
2,50,mesh_1,32402,TRUE,5,canopy_height_90m_coef,2519543.1265528,832305,3.02718730099279,cv_canopy_height_90m_coef_mesh_1_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_1_100m_local_density_smoothed.Rds,Vegetation Height Trend
2,100,mesh_2,30802,TRUE,5,canopy_height_90m_coef,2519999.17149226,832305,3.02773523106585,cv_canopy_height_90m_coef_mesh_2_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_2_100m_local_density_smoothed.Rds,Vegetation Height Trend
2,150,mesh_3,30532,TRUE,5,canopy_height_90m_coef,2519859.06494644,832305,3.02756689548475,cv_canopy_height_90m_coef_mesh_3_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_3_100m_local_density_smoothed.Rds,Vegetation Height Trend
4,50,mesh_4,11671,TRUE,5,canopy_height_90m_coef,2464890.73098664,832305,2.96152339705593,cv_canopy_height_90m_coef_mesh_4_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_4_100m_local_density_smoothed.Rds,Vegetation Height Trend
4,100,mesh_5,10014,FALSE,3,canopy_height_90m_coef,2464813.51130517,832305,2.96143061894999,cv_canopy_height_90m_coef_mesh_5_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_5_100m_local_density_smoothed.Rds,Vegetation Height Trend
4,150,mesh_6,9782,TRUE,5,canopy_height_90m_coef,2464535.74765129,832305,2.96109689074473,cv_canopy_height_90m_coef_mesh_6_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_6_100m_local_density_smoothed.Rds,Vegetation Height Trend
16,50,mesh_10,3298,FALSE,4,canopy_height_90m_coef,2370012.79373765,832305,2.84752920352232,cv_canopy_height_90m_coef_mesh_10_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_10_100m_local_density_smoothed.Rds,Vegetation Height Trend
32,50,mesh_13,1895,TRUE,5,canopy_height_90m_coef,2337266.82252102,832305,2.80818548791731,cv_canopy_height_90m_coef_mesh_13_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_13_100m_local_density_smoothed.Rds,Vegetation Height Trend
32,100,mesh_14,900,FALSE,3,canopy_height_90m_coef,2334489.04299343,832305,2.80484803406615,cv_canopy_height_90m_coef_mesh_14_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_14_100m_local_density_smoothed.Rds,Vegetation Height Trend
32,150,mesh_15,584,FALSE,4,canopy_height_90m_coef,2334054.92291651,832305,2.80432644633458,cv_canopy_height_90m_coef_mesh_15_100m_local_density_smoothed,builds/cv_models/cv_canopy_height_90m_coef_mesh_15_100m_local_density_smoothed.Rds,Vegetation Height Trend
2,50,mesh_1,32402,TRUE,5,tree_cover_100m_coef,-1585831.54141163,832305,-1.90534905042218,cv_tree_cover_100m_coef_mesh_1_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_1_100m_local_density_smoothed.Rds,Woody Cover Trend
2,100,mesh_2,30802,TRUE,5,tree_cover_100m_coef,-1585709.37069367,832305,-1.90520226442671,cv_tree_cover_100m_coef_mesh_2_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_2_100m_local_density_smoothed.Rds,Woody Cover Trend
2,150,mesh_3,30532,TRUE,5,tree_cover_100m_coef,-1586073.74748875,832305,-1.90564005681661,cv_tree_cover_100m_coef_mesh_3_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_3_100m_local_density_smoothed.Rds,Woody Cover Trend
4,50,mesh_4,11671,TRUE,5,tree_cover_100m_coef,-1616810.20633356,832305,-1.94256937821298,cv_tree_cover_100m_coef_mesh_4_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_4_100m_local_density_smoothed.Rds,Woody Cover Trend
4,100,mesh_5,10014,FALSE,4,tree_cover_100m_coef,-1616730.3268971,832305,-1.94247340445762,cv_tree_cover_100m_coef_mesh_5_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_5_100m_local_density_smoothed.Rds,Woody Cover Trend
4,150,mesh_6,9782,TRUE,5,tree_cover_100m_coef,-1616707.63380829,832305,-1.9424461391056,cv_tree_cover_100m_coef_mesh_6_100m_local_density_smoothed,builds/cv_models/cv_tree_cover_100m_coef_mesh_6_100m_local_density_smoothed.Rds,Woody Cover Trend
