cutoff,max_inner_edge,mesh_id,response,n_vertices,all_converged,p_d_hessian,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response
40,200,mesh_1,tree_cover_1000m_coef,228,FALSE,3,-1877.98880910666,34,-55.2349649737253,cv_tree_cover_1000m_coef_mesh_1_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_1_park_average_density.Rds,Woody Cover Trend
40,400,mesh_2,tree_cover_1000m_coef,109,FALSE,3,-431.311876065379,34,-12.6856434136876,cv_tree_cover_1000m_coef_mesh_2_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_2_park_average_density.Rds,Woody Cover Trend
40,600,mesh_3,tree_cover_1000m_coef,100,FALSE,2,-443.013199904426,34,-13.029799997189,cv_tree_cover_1000m_coef_mesh_3_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_3_park_average_density.Rds,Woody Cover Trend
40,800,mesh_4,tree_cover_1000m_coef,99,FALSE,2,-443.260732887696,34,-13.0370803790499,cv_tree_cover_1000m_coef_mesh_4_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_4_park_average_density.Rds,Woody Cover Trend
80,200,mesh_5,tree_cover_1000m_coef,220,FALSE,3,-152.086680611911,34,-4.47313766505621,cv_tree_cover_1000m_coef_mesh_5_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_5_park_average_density.Rds,Woody Cover Trend
80,400,mesh_6,tree_cover_1000m_coef,98,FALSE,2,-123.334527298611,34,-3.62748609701796,cv_tree_cover_1000m_coef_mesh_6_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_6_park_average_density.Rds,Woody Cover Trend
80,600,mesh_7,tree_cover_1000m_coef,86,FALSE,2,-129.637338896159,34,-3.81286290871057,cv_tree_cover_1000m_coef_mesh_7_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_7_park_average_density.Rds,Woody Cover Trend
80,800,mesh_8,tree_cover_1000m_coef,84,FALSE,3,-130.421770076542,34,-3.83593441401594,cv_tree_cover_1000m_coef_mesh_8_park_average_density,builds/cv_models/cv_tree_cover_1000m_coef_mesh_8_park_average_density.Rds,Woody Cover Trend
40,200,mesh_17,canopy_height_900m_coef,228,FALSE,3,117.422601986882,34,3.45360594079065,cv_canopy_height_900m_coef_mesh_17_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_17_park_average_density.Rds,Canopy Height Trend
40,400,mesh_18,canopy_height_900m_coef,109,FALSE,2,117.422601986028,34,3.45360594076552,cv_canopy_height_900m_coef_mesh_18_park_average_density,builds/cv_models/cv_canopy_height_900m_coef_mesh_18_park_average_density.Rds,Canopy Height Trend
