term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,slope_range,season
evi_mean,0.147098579610199,0.0696798876606719,2.11106223831103,0.0347669626291776,EF0128,F,365,4015,0.0105259997952822,0.283671159425116,2757.76259793603,6.24973480475873,5.72964509586209,0.104465761820304,1.21867684586261,4819.8889465332,26.4850597381592,37.001781463623,0.614731308072805,9.3175868988037,wet_season
distance_to_water_km,1.36467710114589,0.227065558991876,6.01005765561617,1.85457359967653e-09,EF0128,F,365,4015,0.91962860552181,1.80972559676996,2757.76259793603,6.24973480475873,5.72964509586209,0.104465761820304,1.21867684586261,4819.8889465332,26.4850597381592,37.001781463623,0.614731308072805,9.3175868988037,wet_season
distance_to_settlement_km,-1.72503960047109,0.263709518133604,-6.54143852174925,6.09298810716232e-11,EF0128,F,365,4015,-2.24191025601295,-1.20816894492922,2757.76259793603,6.24973480475873,5.72964509586209,0.104465761820304,1.21867684586261,4819.8889465332,26.4850597381592,37.001781463623,0.614731308072805,9.3175868988037,wet_season
human_modification,0.0307727143929088,0.0785475193801168,0.391771944368985,0.69522672647102,EF0128,F,365,4015,-0.12318042359212,0.184725852377938,2757.76259793603,6.24973480475873,5.72964509586209,0.104465761820304,1.21867684586261,4819.8889465332,26.4850597381592,37.001781463623,0.614731308072805,9.3175868988037,wet_season
slope,0.0587171191266883,0.0565331913418213,1.03863089510837,0.298976431454906,EF0128,F,365,4015,-0.0520879359032814,0.169522174156658,2757.76259793603,6.24973480475873,5.72964509586209,0.104465761820304,1.21867684586261,4819.8889465332,26.4850597381592,37.001781463623,0.614731308072805,9.3175868988037,wet_season
evi_mean,0.0664021892622932,0.0685705570921499,0.968377567256123,0.332855838671732,EF0127,F,383,4213,-0.0679961026383207,0.200800481162907,2689.68866057494,7.40319449904017,12.2673388413644,0.0660019791521111,1.01681410369202,4189.1838684082,26.4253749847412,38.0059623718262,0.614731308072805,8.40239289496094,wet_season
distance_to_water_km,-0.352792030237143,0.12102915462073,-2.91493426805046,0.00355763464576542,EF0127,F,383,4213,-0.590009173293774,-0.115574887180513,2689.68866057494,7.40319449904017,12.2673388413644,0.0660019791521111,1.01681410369202,4189.1838684082,26.4253749847412,38.0059623718262,0.614731308072805,8.40239289496094,wet_season
distance_to_settlement_km,0.104871166531804,0.104101066987263,1.00739761432642,0.313743737320519,EF0127,F,383,4213,-0.0991669247632312,0.308909257826839,2689.68866057494,7.40319449904017,12.2673388413644,0.0660019791521111,1.01681410369202,4189.1838684082,26.4253749847412,38.0059623718262,0.614731308072805,8.40239289496094,wet_season
human_modification,-0.399771833941162,0.104390046073041,-3.82959725548395,0.000128353149833249,EF0127,F,383,4213,-0.604376324244324,-0.195167343638001,2689.68866057494,7.40319449904017,12.2673388413644,0.0660019791521111,1.01681410369202,4189.1838684082,26.4253749847412,38.0059623718262,0.614731308072805,8.40239289496094,wet_season
slope,0.145681782422024,0.049944085996339,2.91689755685393,0.0035353186581498,EF0127,F,383,4213,0.0477913738691994,0.243572190974848,2689.68866057494,7.40319449904017,12.2673388413644,0.0660019791521111,1.01681410369202,4189.1838684082,26.4253749847412,38.0059623718262,0.614731308072805,8.40239289496094,wet_season
evi_mean,0.199686773520907,0.0534877286451598,3.73331937210567,0.000188972728733139,EM0147,M,820,9020,0.0948508253763933,0.30452272166542,2631.95152895097,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1876.70910644531,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
distance_to_water_km,-0.154213326094521,0.17471863991464,-0.88263808698295,0.377431843358123,EM0147,M,820,9020,-0.496661860327215,0.188235208138173,2631.95152895097,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1876.70910644531,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
distance_to_settlement_km,0.178249484131106,0.118777841127481,1.50069644673702,0.13343409253715,EM0147,M,820,9020,-0.0545550844787576,0.411054052740969,2631.95152895097,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1876.70910644531,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
human_modification,-0.10604856232387,0.10030790921568,-1.05723031367195,0.290406488240718,EM0147,M,820,9020,-0.302652064386602,0.090554939738862,2631.95152895097,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1876.70910644531,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
slope,0.00481546827590385,0.0374918316843582,0.128440464484238,0.897800410301781,EM0147,M,820,9020,-0.0686685218254382,0.0782994583772459,2631.95152895097,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1876.70910644531,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
evi_mean,-0.0700847812504233,0.0391774775296986,-1.78890489305482,0.0736301336562676,EM0145,M,799,8769,-0.146872637208633,0.00670307470778601,2638.63590473911,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,2461.99987792969,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
distance_to_water_km,-0.574433328206025,0.228007356025506,-2.51936313906366,0.0117567335487707,EM0145,M,799,8769,-1.02132774601602,-0.127538910396033,2638.63590473911,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,2461.99987792969,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
distance_to_settlement_km,0.0272312764223834,0.163507100732013,0.166544916401003,0.86772813852988,EM0145,M,799,8769,-0.293242641012362,0.347705193857129,2638.63590473911,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,2461.99987792969,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
human_modification,-0.0196128444103071,0.0491907121658318,-0.398710316374121,0.690106665512871,EM0145,M,799,8769,-0.116026640255337,0.0768009514347232,2638.63590473911,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,2461.99987792969,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
slope,-0.0273156756861387,0.0392450211993837,-0.696029072002837,0.486410623476303,EM0145,M,799,8769,-0.104235917236931,0.0496045658646533,2638.63590473911,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,2461.99987792969,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
evi_mean,0.176272867068501,0.0509549373474395,3.45938737725401,0.000541405638582092,EF0133,F,815,8955,0.0764011898675196,0.276144544269482,2528.40642584668,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,2367.84387207031,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
distance_to_water_km,0.176070127424304,0.131233292574817,1.34165747097998,0.179707082566735,EF0133,F,815,8955,-0.0811471260223368,0.433287380870945,2528.40642584668,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,2367.84387207031,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
distance_to_settlement_km,-0.108410703109395,0.0733313178991715,-1.4783683999578,0.139309198718174,EF0133,F,815,8955,-0.252140086191771,0.0353186799729814,2528.40642584668,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,2367.84387207031,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
human_modification,-0.154861924939681,0.073226158146742,-2.11484432420099,0.0344432177204235,EF0133,F,815,8955,-0.298385194907296,-0.0113386549720671,2528.40642584668,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,2367.84387207031,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
slope,0.0522548071086122,0.0353582010971534,1.47786950374065,0.139442710394108,EF0133,F,815,8955,-0.0170472670418085,0.121556881259033,2528.40642584668,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,2367.84387207031,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
evi_mean,0.12931371755347,0.0415460120137986,3.11254224618529,0.00185483464718249,EM0152,M,810,8890,0.0478835340064244,0.210743901100515,2637.17724002456,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1825.33776855469,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
distance_to_water_km,0.260845610350313,0.139155409558085,1.87449134157759,0.0608627343451543,EM0152,M,810,8890,-0.0118989923835324,0.533590213084159,2637.17724002456,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1825.33776855469,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
distance_to_settlement_km,0.0891695695884739,0.0896655997979661,0.994467998757496,0.319995077561698,EM0152,M,810,8890,-0.0865750060155397,0.264914145192487,2637.17724002456,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1825.33776855469,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
human_modification,0.0895054389996759,0.0465954712125194,1.92090425679883,0.0547437790181343,EM0152,M,810,8890,-0.00182168457686216,0.180832562576214,2637.17724002456,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1825.33776855469,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
slope,0.106301532395675,0.0362802793807012,2.93000864960871,0.00338952568817085,EM0152,M,810,8890,0.0351921848095005,0.177410879981849,2637.17724002456,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1825.33776855469,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
evi_mean,-0.0202958833367999,0.0513401979284183,-0.395321486003963,0.692605644565905,EF0132,F,500,5490,-0.1209226712765,0.0803309046029,2638.21229701642,19.4546240115691,14.19100997138,0.346659336480667,0.620926055782229,1729.33325195313,41.7263870239258,30.5049228668213,0.61453420855105,4.72176742786542,wet_season
distance_to_water_km,-0.0715242718048744,0.130133901535188,-0.549620590492589,0.582579633042561,EF0132,F,500,5490,-0.326586718813843,0.183538175204094,2638.21229701642,19.4546240115691,14.19100997138,0.346659336480667,0.620926055782229,1729.33325195313,41.7263870239258,30.5049228668213,0.61453420855105,4.72176742786542,wet_season
distance_to_settlement_km,0.131551660164811,0.0970466936212046,1.35555015071701,0.175242341700741,EF0132,F,500,5490,-0.0586598593327496,0.321763179662372,2638.21229701642,19.4546240115691,14.19100997138,0.346659336480667,0.620926055782229,1729.33325195313,41.7263870239258,30.5049228668213,0.61453420855105,4.72176742786542,wet_season
human_modification,0.378071808918996,0.0609335727979355,6.20465519349632,5.48169553238217e-10,EF0132,F,500,5490,0.258642006235043,0.49750161160295,2638.21229701642,19.4546240115691,14.19100997138,0.346659336480667,0.620926055782229,1729.33325195313,41.7263870239258,30.5049228668213,0.61453420855105,4.72176742786542,wet_season
slope,0.0631442338307289,0.0461273908220278,1.36890972382021,0.171027495830679,EF0132,F,500,5490,-0.0272654521804455,0.153553919841903,2638.21229701642,19.4546240115691,14.19100997138,0.346659336480667,0.620926055782229,1729.33325195313,41.7263870239258,30.5049228668213,0.61453420855105,4.72176742786542,wet_season
