term,estimate,std_error,statistic,p_value,individual_id,sex,n_true,n_total,ci_lb,ci_ub,evi_mean_mean,distance_to_water_km_mean,distance_to_settlement_km_mean,human_modification_mean,slope_mean,evi_mean_range,distance_to_water_km_range,distance_to_settlement_km_range,human_modification_range,slope_range,season
evi_mean,0.223966718297263,0.0758525282950375,2.95265989587213,0.00315048860192765,EF0128,F,339,3729,0.0752957628389896,0.372637673755537,2872.45822167288,6.32200249816384,5.88825851719783,0.102096482478502,1.19580017503888,2867.5302734375,26.5594844818115,36.9605865478516,0.614731308072805,10.2022943496704,wet_season
distance_to_water_km,1.2111808506184,0.223665209979808,5.41515084410196,6.1237058218032e-08,EF0128,F,339,3729,0.772797039057975,1.64956466217882,2872.45822167288,6.32200249816384,5.88825851719783,0.102096482478502,1.19580017503888,2867.5302734375,26.5594844818115,36.9605865478516,0.614731308072805,10.2022943496704,wet_season
distance_to_settlement_km,-1.59486411013482,0.266658577700921,-5.98092183602505,2.21878332502295e-09,EF0128,F,339,3729,-2.11751492242862,-1.07221329784101,2872.45822167288,6.32200249816384,5.88825851719783,0.102096482478502,1.19580017503888,2867.5302734375,26.5594844818115,36.9605865478516,0.614731308072805,10.2022943496704,wet_season
human_modification,0.0982844917666831,0.0789473793603655,1.24493672320712,0.213155010677877,EF0128,F,339,3729,-0.0564523717796333,0.253021355313,2872.45822167288,6.32200249816384,5.88825851719783,0.102096482478502,1.19580017503888,2867.5302734375,26.5594844818115,36.9605865478516,0.614731308072805,10.2022943496704,wet_season
slope,0.131690365574861,0.0548920136103106,2.39908061143024,0.0164362958580777,EF0128,F,339,3729,0.024102018898652,0.23927871225107,2872.45822167288,6.32200249816384,5.88825851719783,0.102096482478502,1.19580017503888,2867.5302734375,26.5594844818115,36.9605865478516,0.614731308072805,10.2022943496704,wet_season
evi_mean,0.284636075780257,0.0740374623628018,3.84448719197682,0.000120804794061372,EF0127,F,381,4191,0.139522649549165,0.429749502011348,2804.64900989938,7.38885865660401,12.2883946773455,0.0666821697349325,0.998086267725821,2648.51281738281,26.4267520904541,40.1890869140625,0.610607620328664,10.9384718164801,wet_season
distance_to_water_km,-0.378194995574818,0.122026750083261,-3.09927942288693,0.00193991967836336,EF0127,F,381,4191,-0.61736742573801,-0.139022565411626,2804.64900989938,7.38885865660401,12.2883946773455,0.0666821697349325,0.998086267725821,2648.51281738281,26.4267520904541,40.1890869140625,0.610607620328664,10.9384718164801,wet_season
distance_to_settlement_km,0.188600765264413,0.105215747848457,1.79251461041799,0.0730505709332243,EF0127,F,381,4191,-0.0176221005185617,0.394823631047388,2804.64900989938,7.38885865660401,12.2883946773455,0.0666821697349325,0.998086267725821,2648.51281738281,26.4267520904541,40.1890869140625,0.610607620328664,10.9384718164801,wet_season
human_modification,-0.20431643736649,0.0906945136084674,-2.25279820396341,0.0242718754994337,EF0127,F,381,4191,-0.382077684039086,-0.0265551906938939,2804.64900989938,7.38885865660401,12.2883946773455,0.0666821697349325,0.998086267725821,2648.51281738281,26.4267520904541,40.1890869140625,0.610607620328664,10.9384718164801,wet_season
slope,0.188267170492247,0.0500427799189276,3.76212454218673,0.000168476112073485,EF0127,F,381,4191,0.0901833218511489,0.286351019133345,2804.64900989938,7.38885865660401,12.2883946773455,0.0666821697349325,0.998086267725821,2648.51281738281,26.4267520904541,40.1890869140625,0.610607620328664,10.9384718164801,wet_season
evi_mean,0.258071280215128,0.0640220866570586,4.03097264850981,5.55465080860515e-05,EM0147,M,820,9020,0.132587990367293,0.383554570062963,2689.54518029325,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1438.32434082031,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
distance_to_water_km,-0.16323787723412,0.174338998654319,-0.93632450853862,0.34910613312861,EM0147,M,820,9020,-0.504942314596585,0.178466560128345,2689.54518029325,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1438.32434082031,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
distance_to_settlement_km,0.181940306492339,0.118368620249843,1.53706536502929,0.124277303409687,EM0147,M,820,9020,-0.0500621891973543,0.413942802182032,2689.54518029325,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1438.32434082031,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
human_modification,-0.12159847976193,0.10069560520004,-1.20758477512861,0.227207018347875,EM0147,M,820,9020,-0.318961865954008,0.0757649064301482,2689.54518029325,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1438.32434082031,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
slope,0.0062285683217503,0.0375249427746215,0.165984752039722,0.868168949824294,EM0147,M,820,9020,-0.0673203195165078,0.0797774561600084,2689.54518029325,28.4321415411775,26.1917562052046,0.0560587972150641,0.398932272700042,1438.32434082031,74.543083190918,57.5698471665383,0.0449858345091342,2.83254315936938,wet_season
evi_mean,0.0402709371161733,0.047047319748092,0.855966659350588,0.392016221474892,EM0145,M,799,8769,-0.051941809590087,0.132483683822434,2670.6129169462,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,1113.57958984375,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
distance_to_water_km,-0.555844896513442,0.227585932817046,-2.44235172900726,0.014591922232556,EM0145,M,799,8769,-1.00191332483485,-0.109776468192032,2670.6129169462,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,1113.57958984375,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
distance_to_settlement_km,0.00109493210321188,0.163988026813344,0.00667690272569813,0.994672641984397,EM0145,M,799,8769,-0.320321600450943,0.322511464657366,2670.6129169462,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,1113.57958984375,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
human_modification,-0.0153800178772586,0.0491710082717819,-0.312786302697901,0.754443022479297,EM0145,M,799,8769,-0.111755194089951,0.0809951583354339,2670.6129169462,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,1113.57958984375,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
slope,-0.0309641562542613,0.0392322322091115,-0.789252981814023,0.429964161308823,EM0145,M,799,8769,-0.10785933138412,0.0459310188755971,2670.6129169462,7.00952749155854,9.50989406676758,0.0485084096651853,0.491178416401893,1113.57958984375,67.0529479980469,49.4821243286133,0.0449858307838439,3.20122387260199,wet_season
evi_mean,0.275178702025419,0.0598091875749196,4.60094365402837,4.20581197516797e-06,EF0133,F,815,8955,0.157952694378577,0.392404709672262,2575.04599936532,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,1391.10388183594,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
distance_to_water_km,0.165508454029878,0.131528046877341,1.25835103583821,0.208264831528373,EF0133,F,815,8955,-0.0922865178497099,0.423303425909466,2575.04599936532,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,1391.10388183594,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
distance_to_settlement_km,-0.110069019421758,0.0733828193927728,-1.49992900698768,0.13363279320542,EF0133,F,815,8955,-0.253899345431593,0.0337613065880768,2575.04599936532,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,1391.10388183594,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
human_modification,-0.174108373573627,0.0737153261221587,-2.3619019643907,0.018181449491641,EF0133,F,815,8955,-0.318590412773059,-0.0296263343741963,2575.04599936532,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,1391.10388183594,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
slope,0.0503813275375175,0.0354000839870343,1.42319796630907,0.154678775000458,EF0133,F,815,8955,-0.0190028370770698,0.119765492152105,2575.04599936532,34.6635312959161,18.6863786873517,0.0526151488952668,0.385922313488589,1391.10388183594,73.6151275634766,54.3899574279785,0.04362528398633,3.65058110794053,wet_season
evi_mean,0.167453981117729,0.0480381969123319,3.48585067468971,0.000490574765280709,EM0152,M,810,8890,0.0732991151695587,0.2616088470659,2841.22401355104,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1279.57983398438,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
distance_to_water_km,0.279851245955919,0.139662795805289,2.00376373924286,0.0450953748239683,EM0152,M,810,8890,0.006112166177552,0.553590325734286,2841.22401355104,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1279.57983398438,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
distance_to_settlement_km,0.0865686564774752,0.0899422969986059,0.962491056669556,0.335802993488008,EM0152,M,810,8890,-0.0897182456397923,0.262855558594743,2841.22401355104,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1279.57983398438,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
human_modification,0.0839066221609408,0.0466147697707592,1.80000078459197,0.0718605143386181,EM0152,M,810,8890,-0.0074583265897472,0.175271570911629,2841.22401355104,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1279.57983398438,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
slope,0.109620924726162,0.0362377982608999,3.02504373850001,0.00248597173740082,EM0152,M,810,8890,0.0385948401347978,0.180647009317525,2841.22401355104,21.3086980153485,17.751716643017,0.311078858475282,0.568504040519821,1279.57983398438,48.6631889343262,47.546318218112,0.67404985614121,4.33809199277311,wet_season
evi_mean,0.0689882507285156,0.0596329801335712,1.15688081618577,0.247321057476144,EF0132,F,500,5490,-0.047892390333284,0.185868891790315,2775.66415882215,19.4681822789402,14.2099078698888,0.347386943692772,0.621350186343266,1081.81567382813,43.9320945739746,30.1458497047424,0.628379048779607,4.33167717140168,wet_season
distance_to_water_km,-0.0622054837476234,0.132711732774298,-0.468726332233308,0.639265262503399,EF0132,F,500,5490,-0.322320479985247,0.19790951249,2775.66415882215,19.4681822789402,14.2099078698888,0.347386943692772,0.621350186343266,1081.81567382813,43.9320945739746,30.1458497047424,0.628379048779607,4.33167717140168,wet_season
distance_to_settlement_km,0.109070244032052,0.0972089889202194,1.12201808951606,0.261854748608985,EF0132,F,500,5490,-0.0814593742515775,0.299599862315683,2775.66415882215,19.4681822789402,14.2099078698888,0.347386943692772,0.621350186343266,1081.81567382813,43.9320945739746,30.1458497047424,0.628379048779607,4.33167717140168,wet_season
human_modification,0.369172889103109,0.0612902797132603,6.02335135082175,1.70842016310152e-09,EF0132,F,500,5490,0.249043940865119,0.489301837341099,2775.66415882215,19.4681822789402,14.2099078698888,0.347386943692772,0.621350186343266,1081.81567382813,43.9320945739746,30.1458497047424,0.628379048779607,4.33167717140168,wet_season
slope,0.0586674277470624,0.046246539562169,1.26857983975636,0.204590958432977,EF0132,F,500,5490,-0.0319757897947889,0.149310645288914,2775.66415882215,19.4681822789402,14.2099078698888,0.347386943692772,0.621350186343266,1081.81567382813,43.9320945739746,30.1458497047424,0.628379048779607,4.33167717140168,wet_season
evi_mean,-0.0613519212700778,0.0706029907987289,-0.868970571586358,0.384863227265338,EF0039,F,285,3135,-0.199733783235586,0.0770299406954308,2900.29669580779,5.04018783855625,20.7341901709398,0.0537845819451782,0.486609332015711,2230.27075195312,14.8529634475708,37.0994415283203,0.512281160801649,2.29701759293675,wet_season
distance_to_water_km,0.00889425138894572,0.103247338339214,0.0861450913119339,0.931351079142078,EF0039,F,285,3135,-0.193470531755914,0.211259034533805,2900.29669580779,5.04018783855625,20.7341901709398,0.0537845819451782,0.486609332015711,2230.27075195312,14.8529634475708,37.0994415283203,0.512281160801649,2.29701759293675,wet_season
distance_to_settlement_km,0.155156191699542,0.16532419745956,0.938496566647445,0.347989280562039,EF0039,F,285,3135,-0.168879235321197,0.47919161872028,2900.29669580779,5.04018783855625,20.7341901709398,0.0537845819451782,0.486609332015711,2230.27075195312,14.8529634475708,37.0994415283203,0.512281160801649,2.29701759293675,wet_season
human_modification,-0.338569636859384,0.273840841739391,-1.23637378087522,0.216319657399456,EF0039,F,285,3135,-0.875297686668589,0.198158412949822,2900.29669580779,5.04018783855625,20.7341901709398,0.0537845819451782,0.486609332015711,2230.27075195312,14.8529634475708,37.0994415283203,0.512281160801649,2.29701759293675,wet_season
slope,0.0135495259631561,0.0631295713928304,0.214630412724375,0.830055480543831,EF0039,F,285,3135,-0.110184433966792,0.137283485893104,2900.29669580779,5.04018783855625,20.7341901709398,0.0537845819451782,0.486609332015711,2230.27075195312,14.8529634475708,37.0994415283203,0.512281160801649,2.29701759293675,wet_season
evi_mean,0.204385120062416,0.129902355565106,1.57337501058616,0.115632009807877,EM0035,M,213,2343,-0.0502234968451923,0.458993736970024,2707.22562506461,3.73748638457132,11.1031683225676,0.0528742572355489,0.507945500642961,1545.38781738282,29.5950222015381,34.5653419494629,0.22504449263215,1.93991708848625,wet_season
distance_to_water_km,-0.241206275198401,0.141167353353314,-1.70865479495609,0.0875149122809367,EM0035,M,213,2343,-0.517894287770897,0.0354817373740947,2707.22562506461,3.73748638457132,11.1031683225676,0.0528742572355489,0.507945500642961,1545.38781738282,29.5950222015381,34.5653419494629,0.22504449263215,1.93991708848625,wet_season
distance_to_settlement_km,0.14060375494582,0.167661827352091,0.838615188480267,0.401685284722715,EM0035,M,213,2343,-0.188013426664279,0.469220936555919,2707.22562506461,3.73748638457132,11.1031683225676,0.0528742572355489,0.507945500642961,1545.38781738282,29.5950222015381,34.5653419494629,0.22504449263215,1.93991708848625,wet_season
human_modification,-0.22557390866132,0.15973305685854,-1.41219302439751,0.157893133875704,EM0035,M,213,2343,-0.538650700104058,0.0875028827814173,2707.22562506461,3.73748638457132,11.1031683225676,0.0528742572355489,0.507945500642961,1545.38781738282,29.5950222015381,34.5653419494629,0.22504449263215,1.93991708848625,wet_season
slope,0.133774644692218,0.0693532600988565,1.92888761828262,0.0537448152734218,EM0035,M,213,2343,-0.00215774510154035,0.269707034485977,2707.22562506461,3.73748638457132,11.1031683225676,0.0528742572355489,0.507945500642961,1545.38781738282,29.5950222015381,34.5653419494629,0.22504449263215,1.93991708848625,wet_season
evi_mean,0.0967127991997764,0.0471857208168238,2.049620044488,0.0404015228470996,EF0146,F,1224,13464,0.00422878639880188,0.189196812000751,2660.33830347362,7.18709591042031,16.6519953441351,0.0957201328767719,0.512135131247571,1317.30517578125,21.2771754711866,51.2370491027832,0.545154239982367,2.29847068083473,wet_season
distance_to_water_km,0.112514426078912,0.0592748137903186,1.89818269993941,0.0576720189557667,EF0146,F,1224,13464,-0.00366420895011202,0.228693061107937,2660.33830347362,7.18709591042031,16.6519953441351,0.0957201328767719,0.512135131247571,1317.30517578125,21.2771754711866,51.2370491027832,0.545154239982367,2.29847068083473,wet_season
