term,estimate,std.error,conf.low,conf.high,sig,response,excluded_park,n_park,dev_explained_var,dev_explained_full,dev_explained_spatial,cutoff,max_inner_edge,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),-0.00979865953034992,0.000358833863927918,-0.010501960980082,-0.00909535808061785,negative,canopy_height_900m_coef,Bwabwata,4938,0.0658880767836566,0.863453212257142,0.861289164306115,2,100,16984,-500159.799690027,69366,loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Bwabwata,4938,0.0658880767836566,0.863453212257142,0.861289164306115,2,100,16984,-500159.799690027,69366,loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Bwabwata,4938,0.0658880767836566,0.863453212257142,0.861289164306115,2,100,16984,-500159.799690027,69366,loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Bwabwata,4938,0.0658880767836566,0.863453212257142,0.861289164306115,2,100,16984,-500159.799690027,69366,loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Bwabwata,4938,0.0658880767836566,0.863453212257142,0.861289164306115,2,100,16984,-500159.799690027,69366,loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_bwabwata_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.0103739028337113,0.000349801480097979,-0.0110595011364422,-0.00968830453098047,negative,canopy_height_900m_coef,Chobe,4891,0.0588194739984674,0.854201223580951,0.85228587516808,2,100,16663,-498173.27929397,69413,loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Chobe,4891,0.0588194739984674,0.854201223580951,0.85228587516808,2,100,16663,-498173.27929397,69413,loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Chobe,4891,0.0588194739984674,0.854201223580951,0.85228587516808,2,100,16663,-498173.27929397,69413,loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Chobe,4891,0.0588194739984674,0.854201223580951,0.85228587516808,2,100,16663,-498173.27929397,69413,loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Chobe,4891,0.0588194739984674,0.854201223580951,0.85228587516808,2,100,16663,-498173.27929397,69413,loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_chobe_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.00975991148983328,0.000344527153237948,-0.0104351723018758,-0.00908465067779079,negative,canopy_height_900m_coef,Gonarezhou,2137,0.0600123965200447,0.857428955152329,0.855433609580343,2,100,17328,-519205.624632331,72167,loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Gonarezhou,2137,0.0600123965200447,0.857428955152329,0.855433609580343,2,100,17328,-519205.624632331,72167,loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Gonarezhou,2137,0.0600123965200447,0.857428955152329,0.855433609580343,2,100,17328,-519205.624632331,72167,loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Gonarezhou,2137,0.0600123965200447,0.857428955152329,0.855433609580343,2,100,17328,-519205.624632331,72167,loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Gonarezhou,2137,0.0600123965200447,0.857428955152329,0.855433609580343,2,100,17328,-519205.624632331,72167,loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_gonarezhou_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.0099150882068634,0.000344963587662679,-0.01059120441466,-0.00923897199906682,negative,canopy_height_900m_coef,Hluhluwe – iMfolozi Park,625,0.0586752318667042,0.859405878297787,0.857466280775852,2,100,17753,-530290.109655593,73679,loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hluhluwe – iMfolozi Park,625,0.0586752318667042,0.859405878297787,0.857466280775852,2,100,17753,-530290.109655593,73679,loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hluhluwe – iMfolozi Park,625,0.0586752318667042,0.859405878297787,0.857466280775852,2,100,17753,-530290.109655593,73679,loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hluhluwe – iMfolozi Park,625,0.0586752318667042,0.859405878297787,0.857466280775852,2,100,17753,-530290.109655593,73679,loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hluhluwe – iMfolozi Park,625,0.0586752318667042,0.859405878297787,0.857466280775852,2,100,17753,-530290.109655593,73679,loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hluhluwe_–_imfolozi_park_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.00995461994796128,0.000376484480900835,-0.0106925159712652,-0.00921672392465739,negative,canopy_height_900m_coef,Hwange,8652,0.0721295211000305,0.859721394577789,0.85767724051867,2,100,15894,-470047.615708054,65652,loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hwange,8652,0.0721295211000305,0.859721394577789,0.85767724051867,2,100,15894,-470047.615708054,65652,loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hwange,8652,0.0721295211000305,0.859721394577789,0.85767724051867,2,100,15894,-470047.615708054,65652,loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hwange,8652,0.0721295211000305,0.859721394577789,0.85767724051867,2,100,15894,-470047.615708054,65652,loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,Hwange,8652,0.0721295211000305,0.859721394577789,0.85767724051867,2,100,15894,-470047.615708054,65652,loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_hwange_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),-0.00996996529361982,0.000343308907457908,-0.0106428383878091,-0.00929709219943052,negative,canopy_height_900m_coef,Itala Nature Reserve,199,0.0576263822436962,0.858258922616789,0.856313946822086,2,100,17933,-533177.789652381,74105,loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed,builds/loo_models/loo_canopy_height_900m_coef_no_itala_nature_reserve_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
