term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
(Intercept),1.29979578218882,0.794148689324115,-0.256707047256134,2.85629861163377,non-significant,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.29637495984728,0.0716135690847605,-0.436734976057781,-0.156014943636778,negative,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.089802954737149,0.0262672000782415,0.038320188609088,0.14128572086521,positive,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.309512688122429,0.0219077794575874,-0.352451146840547,-0.266574229404312,negative,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0764594803454881,0.0101608001637988,-0.0963742827206424,-0.0565446779703337,negative,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.0932602088982884,0.0396883589056333,0.0154724548377477,0.171047962958829,positive,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.068773650944238,0.0437706539556382,-0.0170152543885786,0.154562556277055,non-significant,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.231718478399479,0.0279599515546097,-0.286518976455999,-0.176917980342959,negative,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Nitrogen deposition
mean_density_km2_scaled:percent_population_growth_scaled,-0.205627015520262,0.0338942674404171,-0.272058558985848,-0.139195472054675,negative,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
mean_density_km2_scaled:months_severe_drought_scaled,-0.0210420986790654,0.0194660738182662,-0.0591949022832652,0.0171107049251345,non-significant,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Mean Ele. Density:Drought Months
mean_density_km2_scaled:fire_frequency_scaled,0.117419888017671,0.0132698450097597,0.0914114697181136,0.143428306317229,positive,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,Mean Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.0264071662389631,0.0224832779513596,-0.0176592488001052,0.0704735812780314,non-significant,20,150,861,201912.196789257,TRUE,tree_cover_1000m_coef,-1.32705150284408,Woody Cover Trend,MAT Trend:Prec Trend
(Intercept),1.31356201096608,0.597050680476148,0.1433641802877,2.48375984164446,positive,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,-0.29474475896293,0.0713524485323068,-0.434592988295,-0.154896529630861,negative,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,Mean Elephant Density
percent_population_growth_scaled,0.0907927141412777,0.026263143510758,0.0393178987393851,0.14226752954317,positive,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.306544608633772,0.0219163561338849,-0.34949987732854,-0.263589339939005,negative,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0762303952127343,0.0101494340909615,-0.0961229204944819,-0.0563378699309866,negative,20,100,1166,201920.541409105,TRUE,tree_cover_1000m_coef,-1.32723684989695,Woody Cover Trend,Fire frequency
