term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
local_density_km2_scaled,0.0376444816250979,0.0478529068138573,-0.0561454922856138,0.13143445553581,non-significant,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.011559896942188,0.0432319438607767,-0.0731731560065918,0.0962929498909677,non-significant,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.115594394207147,0.0490320218925208,-0.211695391205667,-0.0194933972086266,negative,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.13347485430119,0.0557681592575012,0.0241712706723934,0.242778437929986,positive,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0254430768818618,0.034437327735435,-0.0420528452033931,0.0929389989671167,non-significant,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.141942807594569,0.0124825664992687,-0.166408188367762,-0.117477426821377,negative,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0570261738641521,0.00958115995856624,-0.0758049023130592,-0.038247445415245,negative,20,150,861,266112.858774133,TRUE,tree_cover_coef,-1.88351042424767,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.0361751878864091,0.0477319319832608,-0.0573776797132975,0.129728055486116,non-significant,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.0137173676602416,0.0415405035200583,-0.0677005231387321,0.0951352584592152,non-significant,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.11631992935415,0.049024371775165,-0.212405932398175,-0.0202339263101244,negative,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.134368822771184,0.0557356060341901,0.0251290422876582,0.24360860325471,positive,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0208671107966942,0.0343612558149493,-0.046479713064174,0.0882139346575624,non-significant,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.141810509409889,0.012483535064743,-0.166277788536528,-0.11734323028325,negative,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0572144893947297,0.0095840084012703,-0.0759988006887488,-0.0384301781007107,negative,20,100,1156,266111.188049564,TRUE,tree_cover_coef,-1.88349179970583,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.0246267954169729,0.0478539173243453,-0.0691651590579012,0.118418749891847,non-significant,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.0183368415412729,0.0403734576785414,-0.0607936814400204,0.0974673645225662,non-significant,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.128316703270219,0.0500888106281137,-0.226488968129768,-0.0301444384106686,negative,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.141416304135748,0.0568031293677995,0.0300842163656916,0.252748391905805,positive,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0167344188417227,0.0351415094104554,-0.0521416739651452,0.0856105116485906,non-significant,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.142983471687734,0.0125855109822021,-0.167650619939884,-0.118316323435585,negative,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0608732000042886,0.00973818244476374,-0.0799596868709057,-0.0417867131376715,negative,20,50,2989,266067.78020977,TRUE,tree_cover_coef,-1.88290231957078,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.103411060552141,0.04878438470635,0.00779542351974813,0.199026697584533,positive,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.00561599089032498,0.0472296058705723,-0.0869523356200181,0.0981843174006681,non-significant,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0594962272545709,0.0533964487492386,-0.164151343705417,0.0451588891962756,non-significant,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0480499342157736,0.0590603557968303,-0.0677062360601351,0.163806104491682,non-significant,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0213005651421387,0.0353457681621421,-0.0479758674615623,0.0905769977458397,non-significant,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.143236205724928,0.0126924555460159,-0.168112961470495,-0.118359449979361,negative,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0592503509281565,0.0098432652177434,-0.0785427962452094,-0.0399579056111036,negative,18,150,938,265826.460879219,TRUE,tree_cover_coef,-1.88078907795346,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.1051862550794,0.0489482888897015,0.00924937175072295,0.201123138408077,positive,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.0055603074887855,0.0492845589196346,-0.0910356529876405,0.102156267965211,non-significant,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0616999304596268,0.053411757859407,-0.166385052215039,0.042985191295785,non-significant,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0472925280496324,0.0590373956367953,-0.0684186411395285,0.163003697238793,non-significant,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0216362898106725,0.0353506251185037,-0.0476496622525716,0.0909222418739167,non-significant,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.142311762926988,0.0126897216639633,-0.167183160362193,-0.117440365491782,negative,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0591541585093172,0.00984295272378828,-0.0784459913494726,-0.0398623256691618,negative,18,100,1261,265815.360348503,TRUE,tree_cover_coef,-1.88072857091556,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.107774634857653,0.0498772386477911,0.0100170434596727,0.205532226255632,positive,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,0.0119793887375007,0.0498315129536794,-0.085688581946852,0.109647359421853,non-significant,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0538132480447138,0.0542022795993286,-0.160047763939368,0.0524212678499402,non-significant,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0425984064526613,0.0608044593958169,-0.0765761440625679,0.161772956967891,non-significant,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.00745195772436237,0.0396856383883293,-0.0703304642202433,0.0852343796689681,non-significant,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.141220197403145,0.0127247655852688,-0.166160279661987,-0.116280115144304,negative,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0586352607993366,0.00987326262752729,-0.0779864999591954,-0.0392840216394778,negative,18,50,3079,265685.721137056,TRUE,tree_cover_coef,-1.87953657857643,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.0730759270202128,0.050363321394723,-0.0256343690552597,0.171786223095685,non-significant,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,-0.0129820017963922,0.0595572098759296,-0.129711988172907,0.103747984580123,non-significant,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0372764636972472,0.0558424935582971,-0.14672573987842,0.0721728124839251,non-significant,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.156196753463169,0.0605203816882223,0.0375789850236361,0.274814521902702,positive,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.05111531225269,0.0383338864052068,-0.0240177244889649,0.126248348994345,non-significant,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.148376065998966,0.0129710949214107,-0.173798944884981,-0.122953187112951,negative,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0660063568310631,0.0103521044829932,-0.0862961087819254,-0.0457166048802008,negative,16,150,1068,265636.073907012,TRUE,tree_cover_coef,-1.87901963091047,Woody Cover Trend,Burned Area Trend
local_density_km2_scaled,0.0719086586996391,0.0503996082119373,-0.0268727582306872,0.170690075629965,non-significant,16,100,1353,265633.037150203,TRUE,tree_cover_coef,-1.87898391975388,Woody Cover Trend,Local Elephant Density
density_km2_estimate_scaled,-0.011845931273412,0.0596053749916078,-0.128670319541968,0.104978456995144,non-significant,16,100,1353,265633.037150203,TRUE,tree_cover_coef,-1.87898391975388,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.0363970872236406,0.0558829482306346,-0.145925653105601,0.0731314786583196,non-significant,16,100,1353,265633.037150203,TRUE,tree_cover_coef,-1.87898391975388,Woody Cover Trend,MAT Trend
