term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,sum_loglik,n,generic_r2,log_cpo_approx,clean_response,clean_term
(Intercept),1.29495615264771,0.796875973178904,-0.266892054928251,2.85680436022366,non-significant,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.0718911255328884,0.0210159485056026,0.0307006233609589,0.113081627704818,positive,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Local Elephant Density
percent_population_growth_scaled,0.12888668051451,0.023606172681777,0.0826194322453937,0.175153928783626,positive,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Elephant Population Growth
months_severe_drought_scaled,-0.326327132904404,0.0216444246817613,-0.368749425746745,-0.283904840062062,negative,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0733188859113774,0.0103160392031746,-0.0935379512127029,-0.0530998206100519,negative,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Fire frequency
mat_coef_scaled,0.10128563638216,0.039685067819036,0.0235043327328198,0.1790669400315,positive,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.0688533460632899,0.0437614597631077,-0.0169175389832999,0.15462423110988,non-significant,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,-0.21860089122686,0.0280155342765469,-0.273510329416539,-0.163691453037181,negative,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Nitrogen deposition
local_density_km2_scaled:percent_population_growth_scaled,-0.12692659676595,0.0138004722632424,-0.15397502537155,-0.0998781681603513,negative,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Local Ele. Density:Ele. Pop. Growth
local_density_km2_scaled:months_severe_drought_scaled,0.0636940504675924,0.0114758884629806,0.0412017223895517,0.0861863785456331,positive,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Local Ele. Density:Drought Months
local_density_km2_scaled:fire_frequency_scaled,0.125373212212351,0.0138780270797288,0.0981727789596114,0.152573645465091,positive,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,Local Ele. Density:Fire Frequency
mat_coef_scaled:prec_coef_scaled,0.0284095864367715,0.0224646425433541,-0.0156203038737688,0.0724394767473117,non-significant,20,150,861,201885.701311434,TRUE,tree_cover_1000m_coef,-100114.444368426,75464,-0.639778540375237,-1.3266517063557,Woody Cover Trend,MAT Trend:Prec Trend
