term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,mesh_id,n_vertices,aic,sanity_checks,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response,clean_term
(Intercept),1.29525668306487,0.890946519252674,-0.450966406821694,3.04147977295143,non-significant,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.00959497843470951,0.0121205673642204,-0.0141608970713541,0.0333508539407731,non-significant,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,Local Elephant Density
density_trend_estimate_scaled,-0.0407297803300203,0.0168436592243949,-0.0737427457777001,-0.0077168148823404,negative,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,Elephant Density Trend
months_severe_drought_scaled,-0.280169067858716,0.0181154256833973,-0.315674649762787,-0.244663485954646,negative,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.088912172604407,0.00698525794276791,-0.102603026594954,-0.0752213186138595,negative,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0705313680068835,0.0291905684391129,0.0133189051779706,0.127743830835796,positive,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.225410412169813,0.0269613768445368,-0.278253739758717,-0.172567084580908,negative,20,150,mesh_30,861,194850.514179544,TRUE,tree_cover_1000m_coef,-96709.7624096714,75464,-1.28153506850513,tree_cover_1000m_coef_mesh_30_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density.Rds,Woody Cover Trend,Nitrogen deposition
(Intercept),1.30602420586141,0.69525410110568,-0.0566487924094956,2.66869720413231,non-significant,20,100,mesh_29,1166,194865.488657718,TRUE,tree_cover_1000m_coef,-96727.6844759744,75464,-1.28177256010779,tree_cover_1000m_coef_mesh_29_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density.Rds,Woody Cover Trend,(Intercept)
local_density_km2_scaled,0.00968258471016453,0.0121192493343073,-0.0140707075047388,0.0334358769250678,non-significant,20,100,mesh_29,1166,194865.488657718,TRUE,tree_cover_1000m_coef,-96727.6844759744,75464,-1.28177256010779,tree_cover_1000m_coef_mesh_29_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density.Rds,Woody Cover Trend,Local Elephant Density
density_trend_estimate_scaled,-0.0406505789404974,0.016849349674709,-0.0736746974658487,-0.00762646041514602,negative,20,100,mesh_29,1166,194865.488657718,TRUE,tree_cover_1000m_coef,-96727.6844759744,75464,-1.28177256010779,tree_cover_1000m_coef_mesh_29_1000m_local_density,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density.Rds,Woody Cover Trend,Elephant Density Trend
