term,estimate,std.error,conf.low,conf.high,sig,response,dev_explained_var,dev_explained_full,dev_explained_ele,dev_explained_spatial,morans_i_fixed,morans_i_full,morans_i_p_val_fixed,morans_i_p_val_full,cutoff,max_inner_edge,mesh_id,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),-0.00992792676646409,0.000342427321719778,-0.0105990719843574,-0.00925678154857081,negative,canopy_height_900m_coef,0.0594762410850138,0.85868527531098,0.00241111533440397,0.856763439644242,0.440178036464733,0.000412780317497376,0,0.129657948014259,2,100,mesh_17,18010,-534737.401912666,74304,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0594762410850138,0.85868527531098,0.00241111533440397,0.856763439644242,0.440178036464733,0.000412780317497376,0,0.129657948014259,2,100,mesh_17,18010,-534737.401912666,74304,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0594762410850138,0.85868527531098,0.00241111533440397,0.856763439644242,0.440178036464733,0.000412780317497376,0,0.129657948014259,2,100,mesh_17,18010,-534737.401912666,74304,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0594762410850138,0.85868527531098,0.00241111533440397,0.856763439644242,0.440178036464733,0.000412780317497376,0,0.129657948014259,2,100,mesh_17,18010,-534737.401912666,74304,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sfire_frequency_scaled
sprec_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0594762410850138,0.85868527531098,0.00241111533440397,0.856763439644242,0.440178036464733,0.000412780317497376,0,0.129657948014259,2,100,mesh_17,18010,-534737.401912666,74304,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Vegetation Height Trend,sprec_coef_scaled
(Intercept),0.591465672862135,0.0430980097972723,0.506995125854127,0.675936219870143,positive,tree_cover_1000m_coef,0.345338695229677,0.901381775582426,0.0390871335320011,0.900621478087579,0.431565238411654,-0.00017846778242701,0,0.668827108986353,2,50,mesh_1,19642,148284.26088443,74304,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,(Intercept)
slocal_density_km2_scaled,-0.15,0.02,-0.189199279690801,-0.110800720309199,negative,tree_cover_1000m_coef,0.345338695229677,0.901381775582426,0.0390871335320011,0.900621478087579,0.431565238411654,-0.00017846778242701,0,0.668827108986353,2,50,mesh_1,19642,148284.26088443,74304,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0.18,0.03,0.121201080463798,0.238798919536202,positive,tree_cover_1000m_coef,0.345338695229677,0.901381775582426,0.0390871335320011,0.900621478087579,0.431565238411654,-0.00017846778242701,0,0.668827108986353,2,50,mesh_1,19642,148284.26088443,74304,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,-0.13,0.01,-0.149599639845401,-0.110400360154599,negative,tree_cover_1000m_coef,0.345338695229677,0.901381775582426,0.0390871335320011,0.900621478087579,0.431565238411654,-0.00017846778242701,0,0.668827108986353,2,50,mesh_1,19642,148284.26088443,74304,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,sfire_frequency_scaled
sprec_coef_scaled,0.73,0.05,0.632001800772997,0.827998199227003,positive,tree_cover_1000m_coef,0.345338695229677,0.901381775582426,0.0390871335320011,0.900621478087579,0.431565238411654,-0.00017846778242701,0,0.668827108986353,2,50,mesh_1,19642,148284.26088443,74304,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,sprec_coef_scaled
