term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,mesh_id,n_vertices,aic,sanity_checks,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response,clean_term
(Intercept),1.31229278109722,0.842562382435234,-0.339099143204102,2.96368470539854,non-significant,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,(Intercept)
density_trend_estimate_scaled,-0.0307734661859019,0.0177626352363819,-0.0655875915197324,0.00404065914792867,non-significant,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Elephant Population Growth
local_density_km2_scaled,0.0809639546242006,0.018806291231961,0.0441043011267856,0.117823608121616,positive,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Local Elephant Density
months_severe_drought_scaled,-0.29333445983285,0.0182821837574087,-0.329166881556114,-0.257502038109586,negative,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0535748899386304,0.00872238978472589,-0.0706704597758132,-0.0364793201014476,negative,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0924642120347453,0.0292899448771147,0.0350569749664372,0.149871449103054,positive,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.159423152320913,0.0283206477821585,-0.214930601992788,-0.103915702649038,negative,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Nitrogen deposition
density_trend_estimate_scaled:local_density_km2_scaled,-0.00629262129817719,0.00197627938609085,-0.0101660577183042,-0.00241918487805019,negative,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Elephant Population Growth:Local Elephant Density
local_density_km2_scaled:months_severe_drought_scaled,0.0654781902782931,0.0108037440731161,0.0443032409967975,0.0866531395597887,positive,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,N Drought Months:Local Elephant Density
local_density_km2_scaled:fire_frequency_scaled,0.0779301612071151,0.0115719082991695,0.0552496377083427,0.100610684705887,positive,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Fire frequency:Local Elephant Density
local_density_km2_scaled:mat_change_scaled,0.103728274767051,0.0150136638654364,0.0743020343148056,0.133154515219297,positive,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,MAT Trend:Local Elephant Density
local_density_km2_scaled:n_deposition_scaled,-0.0290246288084693,0.00728559381275015,-0.0433041302874474,-0.0147451273294911,negative,20,150,mesh_30,861,194719.460353621,TRUE,tree_cover_1000m_coef,-96570.8428104756,75464,-1.2796941960468,tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_30_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Nitrogen deposition:Local Elephant Density
(Intercept),1.34417172790212,0.655373372375674,0.0596635216192405,2.628679934185,positive,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,(Intercept)
density_trend_estimate_scaled,-0.030688150792619,0.0177686838274511,-0.0655141311471024,0.00413782956186438,non-significant,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Elephant Population Growth
local_density_km2_scaled,0.0811741524171686,0.0188025628169198,0.0443218064789537,0.118026498355383,positive,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Local Elephant Density
months_severe_drought_scaled,-0.292477570576884,0.0182801753999064,-0.328306055991775,-0.256649085161992,negative,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0535400593771451,0.00871953364147602,-0.0706300312764235,-0.0364500874778668,negative,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0936292366951609,0.0292912337730516,0.0362194734372365,0.151038999953085,positive,20,100,mesh_29,1166,194734.378776553,TRUE,tree_cover_1000m_coef,-96589.0399368993,75464,-1.27993533256784,tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions,builds/models/tree_cover_1000m_coef_mesh_29_1000m_local_density_with_interactions.Rds,Woody Cover Trend,MAT Trend
