term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,mesh_id,n_vertices,aic,sanity_checks,response,sum_loglik,n,log_cpo_approx,model_id,model_path,clean_response,clean_term
(Intercept),1.26432302493911,0.861846791094941,-0.424865645798386,2.95351169567661,non-significant,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,(Intercept)
percent_population_growth_scaled,0.0703313753348945,0.0204401516371441,0.0302694142875547,0.110393336382234,positive,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,Elephant Population Growth
mean_density_km2_scaled,-0.393211501527178,0.0648944769204841,-0.520402339086892,-0.266020663967463,negative,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,Mean Elephant Density
months_severe_drought_scaled,-0.280269560815704,0.0180954184885005,-0.315735929338345,-0.244803192293063,negative,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,N Drought Months
fire_frequency_scaled,-0.0883718190683515,0.00698497899239496,-0.102062126326214,-0.0746815118104885,negative,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,Fire frequency
mat_change_scaled,0.0730584712106086,0.0291817197772753,0.0158633514402089,0.130253590981008,positive,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,MAT Trend
n_deposition_scaled,-0.215672241882789,0.0267738804515336,-0.268148083294176,-0.163196400471402,negative,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,Nitrogen deposition
percent_population_growth_scaled:mean_density_km2_scaled,-0.158913574229071,0.026957122018461,-0.211748562512106,-0.106078585946036,negative,20,150,mesh_30,861,194768.443129446,FALSE,tree_cover_1000m_coef,-96583.6851765217,75464,-1.27986437475514,tree_cover_1000m_coef_mesh_30_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_30_1000m_mean_density.Rds,Woody Cover Trend,Mean Ele. Density:Ele. Pop. Growth
(Intercept),1.28654635334687,0.678602229350083,-0.0434895760078828,2.61658228270162,non-significant,20,100,mesh_29,1166,194782.380584961,TRUE,tree_cover_1000m_coef,-96598.6760899122,75464,-1.28006302461985,tree_cover_1000m_coef_mesh_29_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_29_1000m_mean_density.Rds,Woody Cover Trend,(Intercept)
percent_population_growth_scaled,0.072028728796439,0.020490352563057,0.0318683757423192,0.112189081850559,positive,20,100,mesh_29,1166,194782.380584961,TRUE,tree_cover_1000m_coef,-96598.6760899122,75464,-1.28006302461985,tree_cover_1000m_coef_mesh_29_1000m_mean_density,builds/models/tree_cover_1000m_coef_mesh_29_1000m_mean_density.Rds,Woody Cover Trend,Elephant Population Growth
