term,estimate,std.error,conf.low,conf.high,sig,response,dev_explained_var,dev_explained_full,dev_explained_spatial,cutoff,max_inner_edge,mesh_id,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),-0.00866975129875987,0.0002720528663561,-0.00920296511870871,-0.00813653747881102,negative,canopy_height_900m_coef,0.0825417984487775,0.847633070206585,0.847125578986637,2,100,mesh_2,28588,-877246.56572573,125806,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Canopy Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0825417984487775,0.847633070206585,0.847125578986637,2,100,mesh_2,28588,-877246.56572573,125806,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Canopy Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0825417984487775,0.847633070206585,0.847125578986637,2,100,mesh_2,28588,-877246.56572573,125806,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Canopy Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0825417984487775,0.847633070206585,0.847125578986637,2,100,mesh_2,28588,-877246.56572573,125806,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Canopy Height Trend,sfire_frequency_scaled
smat_coef_scaled,0,0,0,0,non-significant,canopy_height_900m_coef,0.0825417984487775,0.847633070206585,0.847125578986637,2,100,mesh_2,28588,-877246.56572573,125806,canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed,builds/models/canopy_height_900m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Canopy Height Trend,smat_coef_scaled
(Intercept),0.495243256444953,0.0290372142344981,0.438331362333963,0.552155150555943,positive,tree_cover_1000m_coef,0.245533269104907,0.871197600256307,0.870505279499364,2,50,mesh_1,30429,258992.900829451,125806,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,(Intercept)
slocal_density_km2_scaled,0.1,0.01,0.0804003601545995,0.119599639845401,positive,tree_cover_1000m_coef,0.245533269104907,0.871197600256307,0.870505279499364,2,50,mesh_1,30429,258992.900829451,125806,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0.1,0.02,0.0608007203091989,0.139199279690801,positive,tree_cover_1000m_coef,0.245533269104907,0.871197600256307,0.870505279499364,2,50,mesh_1,30429,258992.900829451,125806,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,-0.07,0.01,-0.0895996398454005,-0.0504003601545995,negative,tree_cover_1000m_coef,0.245533269104907,0.871197600256307,0.870505279499364,2,50,mesh_1,30429,258992.900829451,125806,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,sfire_frequency_scaled
smat_coef_scaled,-0.56,0.03,-0.618798919536202,-0.501201080463798,negative,tree_cover_1000m_coef,0.245533269104907,0.871197600256307,0.870505279499364,2,50,mesh_1,30429,258992.900829451,125806,tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed,builds/models/tree_cover_1000m_coef_best_mesh_1000m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,Woody Cover Trend,smat_coef_scaled
