term,estimate,std.error,conf.low,conf.high,sig,response,dev_explained_var,dev_explained_full,dev_explained_spatial,cutoff,max_inner_edge,mesh_id,n_vertices,aic,n,model_id,model_path,hessian_ok,eigen_values_ok,nlminb_ok,range_ok,gradients_ok,se_magnitude_ok,se_na_ok,sigmas_ok,all_ok,clean_response,clean_term
(Intercept),-0.00829207156871979,0.000199879853133959,-0.00868382888209751,-0.00790031425534208,negative,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,sfire_frequency_scaled
smat_coef_scaled,0,0,0,0,non-significant,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,smat_coef_scaled
sn_deposition_scaled,0,0,0,0,non-significant,canopy_height_90m_coef,0.0603314767531856,0.52544348117455,0.524933394159714,2,100,mesh_2,41147,-7208453.30235916,1239528,canopy_height_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/canopy_height_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,Canopy Height Trend,sn_deposition_scaled
(Intercept),0.0665148860855048,0.00280373352983685,0.0610196693447773,0.0720101028262324,positive,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,(Intercept)
slocal_density_km2_scaled,0,0,0,0,non-significant,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0,0,0,0,non-significant,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,0,0,0,0,non-significant,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,sfire_frequency_scaled
smat_coef_scaled,-0.02,0,-0.02,-0.02,negative,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,smat_coef_scaled
sn_deposition_scaled,0.01,0,0.01,0.01,positive,evi_90m_coef,0.106569905481298,0.661623641390029,0.661191174878941,2,50,mesh_1,42984,-2237185.87921907,1239528,evi_90m_coef_best_mesh_100m_local_density_smoothed,builds/models/evi_90m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,EVI Trend,sn_deposition_scaled
(Intercept),0.441389782761045,0.020420006313199,0.401367305823094,0.481412259698995,positive,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,(Intercept)
slocal_density_km2_scaled,0.28,0.01,0.2604003601546,0.299599639845401,positive,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,slocal_density_km2_scaled
smonths_extreme_drought_scaled,0.08,0.02,0.0408007203091989,0.119199279690801,positive,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,smonths_extreme_drought_scaled
sfire_frequency_scaled,-0.1,0.01,-0.119599639845401,-0.0804003601545995,negative,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,sfire_frequency_scaled
smat_coef_scaled,-0.53,0.02,-0.569199279690801,-0.490800720309199,negative,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,smat_coef_scaled
sn_deposition_scaled,0.07,0.02,0.0308007203091989,0.109199279690801,positive,tree_cover_100m_coef,0.111255041114675,0.417045250981502,0.416294667965466,2,100,mesh_2,41147,4855135.43071679,1239528,tree_cover_100m_coef_best_mesh_100m_local_density_smoothed,builds/models/tree_cover_100m_coef_best_mesh_100m_local_density_smoothed.Rds,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,Woody Cover Trend,sn_deposition_scaled
