term,estimate,std.error,conf.low,conf.high,sig,cutoff,max_inner_edge,n_vertices,aic,sanity_checks,response,log_cpo_approx,clean_response,clean_term
(Intercept),0.284474185966196,0.135741194638363,0.0184263332565633,0.550522038675829,positive,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.0727537881287598,0.132638750938189,-0.187213386664468,0.332720962921988,non-significant,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,0.00659908190444774,0.0458796368512638,-0.0833233539478058,0.0965215177567013,non-significant,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Elephant Density Trend
mat_coef_scaled,-0.114409846927395,0.0491129460361198,-0.210669452332849,-0.0181502415219405,negative,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,MAT Trend
prec_coef_scaled,0.13227135171434,0.0560272891360415,0.022459882856287,0.242082820572394,positive,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Precipitation Trend
n_deposition_scaled,0.0263059351354806,0.0346132969556483,-0.04153488028378,0.0941467505547412,non-significant,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Nitrogen deposition
fire_frequency_scaled,-0.142433260018873,0.0124604269830542,-0.16685524813765,-0.118011271900096,negative,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Fire frequency
burned_area_coef_scaled,-0.0568453142943963,0.00957711464481367,-0.0756161140740422,-0.0380745145147504,negative,20,150,861,266113.171956821,TRUE,tree_cover_coef,-1.8833713157127,Woody Cover Trend,Burned Area Trend
(Intercept),0.271501488414661,0.133553891602836,0.00974067087793512,0.533262305951386,positive,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,(Intercept)
mean_density_km2_scaled,0.0639885179029946,0.129376786960925,-0.189585324975929,0.317562360781918,non-significant,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Mean Elephant Density
density_km2_estimate_scaled,0.00968560914647066,0.0439794796361634,-0.0765125869992222,0.0958838052921636,non-significant,20,100,1156,266111.514028231,TRUE,tree_cover_coef,-1.88335176954715,Woody Cover Trend,Elephant Density Trend
