"Time","season","Sex","N","step_length","turning_angle","hr_locoh","hr_mcp"
"1hr","dry_season","F",82,"0.25 (0.11-0.52)","0.00 (-0.61-0.62)","439.34 (349.11-578.35)","1491.85 (1169.70-2377.59)"
"1hr","dry_season","M",11,"0.30 (0.11-0.65)","0.01 (-0.75-0.77)","509.27 (439.46-581.66)","2168.65 (1964.96-2488.62)"
"1hr","wet_season","F",82,"0.32 (0.14-0.64)","0.00 (-0.65-0.66)","452.55 (349.11-578.35)","1494.45 (1174.16-2544.89)"
"1hr","wet_season","M",11,"0.34 (0.14-0.73)","0.00 (-0.74-0.75)","509.27 (439.46-581.66)","2168.65 (1964.96-2619.02)"
"3hrs","dry_season","F",106,"0.70 (0.35-1.32)","0.00 (-0.76-0.77)","439.34 (344.50-583.51)","1491.85 (1155.63-2544.89)"
"3hrs","dry_season","M",16,"0.84 (0.39-1.69)","0.04 (-0.88-0.96)","527.20 (439.46-604.77)","2443.30 (1964.96-2619.02)"
"3hrs","dry_season","U",3,"0.57 (0.24-1.41)","0.07 (-0.87-1.00)","1053.59 (77.69-1053.59)","3611.31 (1072.04-3611.31)"
"3hrs","wet_season","F",106,"0.86 (0.42-1.61)","0.01 (-0.81-0.82)","452.55 (346.74-590.47)","1494.45 (1169.70-2819.70)"
"3hrs","wet_season","M",16,"0.98 (0.45-1.96)","0.02 (-0.88-0.93)","527.20 (439.46-604.77)","2443.30 (1964.96-4308.49)"
"3hrs","wet_season","U",3,"0.42 (0.11-0.93)","0.06 (-1.24-1.36)","77.69 (77.69-77.69)","1072.04 (1072.04-1072.04)"
"12hrs","dry_season","F",138,"2.25 (1.29-3.75)","-0.00 (-1.72-1.71)","452.55 (340.57-595.12)","1447.70 (1037.50-2544.89)"
"12hrs","dry_season","M",50,"2.41 (1.26-4.26)","-0.03 (-1.86-1.85)","547.09 (323.75-1389.26)","2168.65 (1028.66-5582.31)"
"12hrs","dry_season","U",30,"2.21 (1.17-3.93)","0.02 (-1.81-1.84)","797.03 (412.35-1244.41)","3833.63 (2762.62-9000.35)"
"12hrs","wet_season","F",138,"2.59 (1.48-4.39)","0.02 (-1.67-1.69)","452.55 (340.57-595.66)","1474.61 (1039.82-2819.70)"
"12hrs","wet_season","M",50,"2.52 (1.33-4.55)","-0.01 (-1.85-1.83)","547.09 (296.94-1389.26)","2168.65 (1028.66-5582.31)"
"12hrs","wet_season","U",30,"2.23 (1.15-4.13)","0.05 (-1.80-1.89)","863.38 (412.35-1312.41)","3993.96 (2762.62-9000.35)"
