grid_id,sum_rel_obs_all,n_indiv_rel_obs_all,mean_rel_obs_all,sum_rel_obs_dry,n_indiv_rel_obs_dry,mean_rel_obs_dry,sum_rel_obs_wet,n_indiv_rel_obs_wet,mean_rel_obs_wet,sum_rel_obs_males,n_indiv_rel_obs_males,mean_rel_obs_males,sum_rel_obs_females,n_indiv_rel_obs_females,mean_rel_obs_females,sum_rel_obs_dry_male,n_indiv_rel_obs_dry_male,mean_rel_obs_dry_male,sum_rel_obs_dry_female,n_indiv_rel_obs_dry_female,mean_rel_obs_dry_female,sum_rel_obs_wet_male,n_indiv_rel_obs_wet_male,mean_rel_obs_wet_male,sum_rel_obs_wet_female,n_indiv_rel_obs_wet_female,mean_rel_obs_wet_female,road_density,major_road_density,minor_road_density,distance_to_road_km,distance_to_major_road_km,distance_to_minor_road_km
grid_1,0.534164924171414,2,0.267082462085707,0,0,0,1.87959736740225,4,0.469899341850561,0,0,0,0.534164924171414,2,0.267082462085707,0,0,0,0,0,0,0,0,0,0.939798683701123,2,0.469899341850561,0,0,0,11.7222884871335,100.657439574824,11.7222884871335
grid_2,0.161030595813205,1,0.161030595813205,0,0,0,0.609756097560976,2,0.304878048780488,0,0,0,0.161030595813205,1,0.161030595813205,0,0,0,0,0,0,0,0,0,0.304878048780488,1,0.304878048780488,0,0,0,6.25454814928432,101.90816851734,6.25454814928432
grid_3,0.673862034054299,3,0.2246206780181,0,0,0,2.47167059751229,6,0.411945099585381,0,0,0,0.673862034054299,3,0.2246206780181,0,0,0,0,0,0,0,0,0,1.23583529875614,3,0.411945099585381,0,0,0,6.83500152095257,97.8115335107212,6.83500152095257
grid_4,0.485193328657404,2,0.242596664328702,0,0,0,1.83300912763729,4,0.458252281909322,0,0,0,0.485193328657404,2,0.242596664328702,0,0,0,0,0,0,0,0,0,0.916504563818644,2,0.458252281909322,0,0,0,10.4632686676814,98.719049613122,10.4632686676814
grid_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1.80373880233977,100.368348722679,1.80373880233977
grid_6,0.483091787439614,1,0.483091787439614,0,0,0,1.82926829268293,2,0.914634146341463,0,0,0,0.483091787439614,1,0.483091787439614,0,0,0,0,0,0,0,0,0,0.914634146341463,1,0.914634146341463,3,0,3,2.20510137713932,95.1434287466998,2.20510137713932
grid_7,3.76948762896004,3,1.25649587632001,0,0,0,14.1009051633023,6,2.35015086055038,0,0,0,3.76948762896004,3,1.25649587632001,0,0,0,0,0,0,0,0,0,7.05045258165115,3,2.35015086055038,0,0,0,10.7169295538112,95.6850390733978,10.7169295538112
grid_8,3.25094654631893,3,1.08364884877298,0,0,0,11.7839626249023,6,1.96399377081705,0,0,0,3.25094654631893,3,1.08364884877298,0,0,0,0,0,0,0,0,0,5.89198131245116,3,1.96399377081705,0,0,0,5.77166388735337,96.9999039756068,5.77166388735337
grid_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2.66666218448813,99.0572361823012,2.66666218448813
grid_10,7.51284518059551,3,2.50428172686517,0,0,0,27.2655684050267,6,4.54426140083779,0,0,0,7.51284518059551,3,2.50428172686517,0,0,0,0,0,0,0,0,0,13.6327842025134,3,4.54426140083779,0,0,0,5.89745607151392,92.8213480210089,5.89745607151392
grid_11,4.13481077170044,3,1.37827025723348,0,0,0,14.9119775597405,6,2.48532959329009,0,0,0,4.13481077170044,3,1.37827025723348,0,0,0,0,0,0,0,0,0,7.45598877987027,3,2.48532959329009,0,0,0,9.4296021439155,93.7771684219377,9.4296021439155
grid_12,0.695195519984618,2,0.347597759992309,0,0,0,2.48935346496322,4,0.622338366240805,0,0,0,0.695195519984618,2,0.347597759992309,0,0,0,0,0,0,0,0,0,1.24467673248161,2,0.622338366240805,1,0,1,0.990641950705695,95.5118421246065,0.990641950705695
grid_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44831824250326,97.9840122409517,7.44831824250326
grid_14,0.830689547431923,2,0.415344773715961,0,0,0,3.07394502516454,4,0.768486256291134,0,0,0,0.830689547431923,2,0.415344773715961,0,0,0,0,0,0,0,0,0,1.53697251258227,2,0.768486256291134,1,0,1,1.07798258921551,90.1442099882001,1.07798258921551
grid_15,0.885965766599304,2,0.442982883299652,0,0,0,3.13175576979258,4,0.782938942448145,0,0,0,0.885965766599304,2,0.442982883299652,0,0,0,0,0,0,0,0,0,1.56587788489629,2,0.782938942448145,0,0,0,9.46023509942785,90.715672643684,9.46023509942785
grid_16,2.24871869698485,3,0.74957289899495,0,0,0,8.081557327405,6,1.34692622123417,0,0,0,2.24871869698485,3,0.74957289899495,0,0,0,0,0,0,0,0,0,4.0407786637025,3,1.34692622123417,0,0,0,4.65130057205777,92.1015088475499,4.65130057205777
grid_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79037998594193,94.2658082275573,3.79037998594193
grid_18,3.90228660623089,3,1.30076220207696,0,0,0,13.7706785043311,6,2.29511308405518,0,0,0,3.90228660623089,3,1.30076220207696,0,0,0,0,0,0,0,0,0,6.88533925216553,3,2.29511308405518,0,0,0,4.64391626305994,87.8322788566688,4.64391626305994
grid_19,1.22936044415603,2,0.614680222078016,0,0,0,4.36895083236547,4,1.09223770809137,0,0,0,1.22936044415603,2,0.614680222078016,0,0,0,0,0,0,0,0,0,2.18447541618273,2,1.09223770809137,0,0,0,9.02791410311296,88.8417912806515,9.02791410311296
grid_20,0.161030595813205,1,0.161030595813205,0,0,0,0.609756097560976,2,0.304878048780488,0,0,0,0.161030595813205,1,0.161030595813205,0,0,0,0,0,0,0,0,0,0.304878048780488,1,0.304878048780488,1,0,1,0.43712685762243,90.6709355127327,0.43712685762243
grid_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18367073381566,93.2715026980553,8.18367073381566
grid_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.056262879431639,85.1450829767351,0.056262879431639
grid_23,3.23052611339438,2,1.61526305669719,0,0,0,11.3027487417731,4,2.82568718544328,0,0,0,3.23052611339438,2,1.61526305669719,0,0,0,0,0,0,0,0,0,5.65137437088657,2,2.82568718544328,0,0,0,8.47529070763258,85.7498677778244,8.47529070763258
grid_24,0.3241627328442,2,0.1620813664221,0,0,0,1.22325303007631,4,0.305813257519078,0,0,0,0.3241627328442,2,0.1620813664221,0,0,0,0,0,0,0,0,0,0.611626515038157,2,0.305813257519078,0,0,0,4.74742936576437,87.2146460906289,4.74742936576437
