Year,North Luangwa,South Luangwa,Luambe,Lukusuzi,Kasungu,Lower Zambezi,Mana Pools,Luengwe Luiana,Mavinga,Khaudum,Bwabwata,Nkasa Rupara (Mamili NP),Kafue,Sioma Ngwezi,Moremi,Chobe,Nxai Pan,Makgakgadi,Vicoria Falls /Zambezi NP,Hwange,Chizarira,Matusadonha,Northern Tuli,Venetia Limpopo,Mapungubwe,Gonarezhou,Makhuya,Kruger,Letaba,Klaserie,Balule,Umbabat,Timbavati,Manyeleti,Sabie Sands,Limpopo,Banhine,Zinave,Maputo,Tembe,Pongola,uMkhuze,iSimangaliso,HIP,Ithala,Addo,Pilanesberg,Madikwe
1985,5282,15375,,,888,,,,,,,72,,,,,,,,15663,2556,611,,,,,,6887,,144,,,39,,,,,,,32,,,,40,,120,,
1986,,,,,,,,,,,,136,,,,,,,,16718,,1347,,,,4451,,7617,,,,,89,,,,,,,35,,,,45,,118,,
1987,,15000,,,440,,,,,,,,,,,,,,,19264,1567,627,,,,3802,,6898,,,,,,,,,,,1000,41,,,,63,,121,,
1988,,2400,,,,,,,,,,169,,,,,,,,21590,1999,,,,,,,7344,,268,,,129,,,,,,,56,,,,92,,140,,
1989,5077,5400,,,,,,,,593,,179,,,,30810,,,,23493,4525,1523,,,,5286,,7468,,395,,,153,,,,,,,54,,,,127,,151,48,
1990,,5500,,,,,,,,,,491,,,,,,,,28729,,,,,,,40,7287,31,,,,167,10,60,,,,,48,,,,150,,161,,
1991,,,,,,328,,,,,,,5927,1187,,,,,,32917,,,696,,,6406,,7470,,,,,,,,,,,,,,,,,,173,,
1992,,,,,672,,,,,,,,,,,17320,,,,36844,,,,,,,,7632,,,,,,,,,,,,85,,,,,,175,,
1993,2100,5270,,,,,,,,,,187,,,,,,,,23201,2508,1893,748,,,5241,,7834,,,,,,,51,,,,,54,,,,,,183,84,
1994,,8026,,110,,,,,,,,638,3862,,,,,,,31576,,,831,,,,,7806,26,,,117,187,,,,,,,71,,12,,,,193,,219
1995,,,,,391,,,,,,,,3847,,,,,,,23303,,,431,45,,4334,,8064,,,,,,,,,,,150,90,,,,160,,208,,250
1996,3033,8834,0,,,232,,,,,,,,250,7758,25532,0,0,5236,27907,,,290,,,3874,,8320,,355,,25,232,,202,,,,200,106,,,,210,,218,81,255
1997,,8499,,,,,,,,,,,4482,,,,,,4017,31613,3626,2206,767,,,,8,8371,59,303,,134,322,28,311,,,,,115,17,25,,250,45,232,,
1998,,7370,,,,,,,,2224,0,,2177,,,,,,,29616,,,,,,4232,,8869,,,,,,,429,,,,180,,21,,,,,271,93,282
1999,,6301,,,,,,,,,,,,,5442,22053,33,66,,34979,,,564,,,,,9152,,,,,,,,,,,205,,19,,,,,284,,
